('a5a4', 'c7c5', 'a4a3', 'c5b4')
('a5a4', 'c7c5', 'b4b2', 'h5h7')
('a5a4', 'c7c5', 'b4b2', 'h5h8')
('a5a4', 'c7c5', 'b4b3', 'c5c4')
('a5a4', 'c7c5', 'b4b3', 'd6d5')
('a5a4', 'c7c5', 'b4b3', 'f4f3')
('a5a4', 'c7c5', 'b4b3', 'h4g4')
('a5a4', 'c7c5', 'b4b3', 'h4g5')
('a5a4', 'c7c5', 'b4b3', 'h5d5')
('a5a4', 'c7c5', 'b4b3', 'h5e5')
('a5a4', 'c7c5', 'b4b3', 'h5f5')
('a5a4', 'c7c5', 'b4b3', 'h5g5')
('a5a4', 'c7c5', 'b4b3', 'h5h6')
('a5a4', 'c7c5', 'b4b3', 'h5h7')
('a5a4', 'c7c5', 'b4b3', 'h5h8')
('a5a4', 'c7c5', 'b4c4', 'd6d5')
('a5a4', 'c7c5', 'b4c4', 'h4g3')
('a5a4', 'c7c5', 'b4c4', 'h4g4')
('a5a4', 'c7c5', 'b4c4', 'h4g5')
('a5a4', 'c7c5', 'b4c4', 'h5d5')
('a5a4', 'c7c5', 'b4c4', 'h5e5')
('a5a4', 'c7c5', 'b4c4', 'h5f5')
('a5a4', 'c7c5', 'b4c4', 'h5g5')
('a5a4', 'c7c5', 'b4c4', 'h5h6')
('a5a4', 'c7c5', 'b4c4', 'h5h7')
('a5a4', 'c7c5', 'b4c4', 'h5h8')
('a5a4', 'c7c5', 'b4d4', 'c5c4')
('a5a4', 'c7c5', 'b4d4', 'c5d4')
('a5a4', 'c7c5', 'b4d4', 'd6d5')
('a5a4', 'c7c5', 'b4d4', 'h4g3')
('a5a4', 'c7c5', 'b4d4', 'h4g4')
('a5a4', 'c7c5', 'b4d4', 'h4g5')
('a5a4', 'c7c5', 'b4d4', 'h5d5')
('a5a4', 'c7c5', 'b4d4', 'h5e5')
('a5a4', 'c7c5', 'b4d4', 'h5f5')
('a5a4', 'c7c5', 'b4d4', 'h5g5')
('a5a4', 'c7c5', 'b4d4', 'h5h6')
('a5a4', 'c7c5', 'b4d4', 'h5h7')
('a5a4', 'c7c5', 'b4d4', 'h5h8')
('a5a4', 'c7c5', 'b4e4', 'c5c4')
('a5a4', 'c7c5', 'b4e4', 'd6d5')
('a5a4', 'c7c5', 'b4e4', 'h4g3')
('a5a4', 'c7c5', 'b4e4', 'h4g4')
('a5a4', 'c7c5', 'b4e4', 'h4g5')
('a5a4', 'c7c5', 'b4e4', 'h5d5')
('a5a4', 'c7c5', 'b4e4', 'h5e5')
('a5a4', 'c7c5', 'b4e4', 'h5f5')
('a5a4', 'c7c5', 'b4e4', 'h5g5')
('a5a4', 'c7c5', 'b4e4', 'h5h6')
('a5a4', 'c7c5', 'b4e4', 'h5h7')
('a5a4', 'c7c5', 'b4e4', 'h5h8')
('a5a4', 'c7c5', 'b4f4', 'h4g3')
('a5a4', 'c7c5', 'b4f4', 'h4g5')
('a5a4', 'c7c5', 'b5b6', 'c5b4')
('a5a4', 'c7c5', 'b5b6', 'c5c4')
('a5a4', 'c7c5', 'b5b6', 'd6d5')
('a5a4', 'c7c5', 'b5b6', 'h4g3')
('a5a4', 'c7c5', 'b5b6', 'h4g4')
('a5a4', 'c7c5', 'b5b6', 'h4g5')
('a5a4', 'c7c5', 'b5b6', 'h5d5')
('a5a4', 'c7c5', 'b5b6', 'h5e5')
('a5a4', 'c7c5', 'b5b6', 'h5f5')
('a5a4', 'c7c5', 'b5b6', 'h5g5')
('a5a4', 'c7c5', 'b5b6', 'h5h6')
('a5a4', 'c7c5', 'b5b6', 'h5h7')
('a5a4', 'c7c5', 'b5b6', 'h5h8')
('a5a4', 'c7c5', 'b5c6', 'd6d5')
('a5a4', 'c7c5', 'b5c6', 'h4g3')
('a5a4', 'c7c5', 'b5c6', 'h4g4')
('a5a4', 'c7c5', 'b5c6', 'h4g5')
('a5a4', 'c7c5', 'b5c6', 'h5a5')
('a5a4', 'c7c5', 'b5c6', 'h5b5')
('a5a4', 'c7c5', 'b5c6', 'h5c5')
('a5a4', 'c7c5', 'b5c6', 'h5d5')
('a5a4', 'c7c5', 'b5c6', 'h5e5')
('a5a4', 'c7c5', 'b5c6', 'h5f5')
('a5a4', 'c7c5', 'b5c6', 'h5g5')
('a5a4', 'c7c5', 'b5c6', 'h5h6')
('a5a4', 'c7c5', 'b5c6', 'h5h7')
('a5a4', 'c7c5', 'b5c6', 'h5h8')
('a5a4', 'c7c5', 'e2e3', 'c5b4')
('a5a4', 'c7c5', 'e2e3', 'c5c4')
('a5a4', 'c7c5', 'e2e3', 'd6d5')
('a5a4', 'c7c5', 'e2e3', 'h4g3')
('a5a4', 'c7c5', 'e2e3', 'h4g4')
('a5a4', 'c7c5', 'e2e3', 'h4g5')
('a5a4', 'c7c5', 'e2e3', 'h5d5')
('a5a4', 'c7c5', 'e2e3', 'h5e5')
('a5a4', 'c7c5', 'e2e3', 'h5f5')
('a5a4', 'c7c5', 'e2e3', 'h5g5')
('a5a4', 'c7c5', 'e2e3', 'h5h6')
('a5a4', 'c7c5', 'e2e3', 'h5h7')
('a5a4', 'c7c5', 'e2e3', 'h5h8')
('a5a4', 'c7c5', 'e2e4', 'c5b4')
('a5a4', 'c7c5', 'e2e4', 'c5c4')
('a5a4', 'c7c5', 'e2e4', 'd6d5')
('a5a4', 'c7c5', 'e2e4', 'f4f3')
('a5a4', 'c7c5', 'e2e4', 'h4g3')
('a5a4', 'c7c5', 'e2e4', 'h4g4')
('a5a4', 'c7c5', 'e2e4', 'h4g5')
('a5a4', 'c7c5', 'e2e4', 'h5d5')
('a5a4', 'c7c5', 'e2e4', 'h5e5')
('a5a4', 'c7c5', 'e2e4', 'h5f5')
('a5a4', 'c7c5', 'e2e4', 'h5g5')
('a5a4', 'c7c5', 'e2e4', 'h5h6')
('a5a4', 'c7c5', 'e2e4', 'h5h7')
('a5a4', 'c7c5', 'e2e4', 'h5h8')
('a5a4', 'c7c5', 'g2g3', 'h4g3')
('a5a4', 'c7c5', 'g2g3', 'h4g4')
('a5a4', 'c7c5', 'g2g3', 'h4g5')
('a5a4', 'c7c5', 'g2g3', 'h4h3')
('a5a4', 'c7c5', 'g2g4', 'c5b4')
('a5a4', 'c7c5', 'g2g4', 'c5c4')
('a5a4', 'c7c5', 'g2g4', 'd6d5')
('a5a4', 'c7c5', 'g2g4', 'f4f3')
('a5a4', 'c7c5', 'g2g4', 'h4g3')
('a5a4', 'c7c5', 'g2g4', 'h4g4')
('a5a4', 'c7c5', 'g2g4', 'h4g5')
('a5a4', 'c7c5', 'g2g4', 'h4h3')
('a5a4', 'c7c5', 'g2g4', 'h5d5')
('a5a4', 'c7c5', 'g2g4', 'h5e5')
('a5a4', 'c7c5', 'g2g4', 'h5f5')
('a5a4', 'c7c5', 'g2g4', 'h5g5')
('a5a4', 'c7c5', 'g2g4', 'h5h6')
('a5a4', 'c7c5', 'g2g4', 'h5h7')
('a5a4', 'c7c5', 'g2g4', 'h5h8')
('a5a4', 'c7c6', 'a4a3', 'c6b5')
('a5a4', 'c7c6', 'a4a3', 'c6c5')
('a5a4', 'c7c6', 'a4a3', 'd6d5')
('a5a4', 'c7c6', 'a4a3', 'h4g3')
('a5a4', 'c7c6', 'a4a3', 'h4g4')
('a5a4', 'c7c6', 'a4a3', 'h4g5')
('a5a4', 'c7c6', 'a4a3', 'h5b5')
('a5a4', 'c7c6', 'a4a3', 'h5c5')
('a5a4', 'c7c6', 'a4a3', 'h5d5')
('a5a4', 'c7c6', 'a4a3', 'h5e5')
('a5a4', 'c7c6', 'a4a3', 'h5f5')
('a5a4', 'c7c6', 'a4a3', 'h5g5')
('a5a4', 'c7c6', 'a4a3', 'h5h6')
('a5a4', 'c7c6', 'a4a3', 'h5h7')
('a5a4', 'c7c6', 'a4a3', 'h5h8')
('a5a4', 'c7c6', 'a4a5', 'c6b5')
('a5a4', 'c7c6', 'a4a5', 'c6c5')
('a5a4', 'c7c6', 'a4a5', 'd6d5')
('a5a4', 'c7c6', 'a4a5', 'h4g3')
('a5a4', 'c7c6', 'a4a5', 'h4g4')
('a5a4', 'c7c6', 'a4a5', 'h4g5')
('a5a4', 'c7c6', 'a4a5', 'h5b5')
('a5a4', 'c7c6', 'a4a5', 'h5c5')
('a5a4', 'c7c6', 'a4a5', 'h5d5')
('a5a4', 'c7c6', 'a4a5', 'h5e5')
('a5a4', 'c7c6', 'a4a5', 'h5f5')
('a5a4', 'c7c6', 'a4a5', 'h5g5')
('a5a4', 'c7c6', 'a4a5', 'h5h6')
('a5a4', 'c7c6', 'a4a5', 'h5h7')
('a5a4', 'c7c6', 'a4a5', 'h5h8')
('a5a4', 'c7c6', 'a4b3', 'c6b5')
('a5a4', 'c7c6', 'a4b3', 'c6c5')
('a5a4', 'c7c6', 'a4b3', 'd6d5')
('a5a4', 'c7c6', 'a4b3', 'h4g3')
('a5a4', 'c7c6', 'a4b3', 'h4g4')
('a5a4', 'c7c6', 'a4b3', 'h4g5')
('a5a4', 'c7c6', 'a4b3', 'h5b5')
('a5a4', 'c7c6', 'a4b3', 'h5c5')
('a5a4', 'c7c6', 'a4b3', 'h5d5')
('a5a4', 'c7c6', 'a4b3', 'h5e5')
('a5a4', 'c7c6', 'a4b3', 'h5f5')
('a5a4', 'c7c6', 'a4b3', 'h5g5')
('a5a4', 'c7c6', 'a4b3', 'h5h6')
('a5a4', 'c7c6', 'a4b3', 'h5h7')
('a5a4', 'c7c6', 'a4b3', 'h5h8')
('a5a4', 'c7c6', 'b4b1', 'c6b5')
('a5a4', 'c7c6', 'b4b1', 'c6c5')
('a5a4', 'c7c6', 'b4b1', 'd6d5')
('a5a4', 'c7c6', 'b4b1', 'f4f3')
('a5a4', 'c7c6', 'b4b1', 'h4g3')
('a5a4', 'c7c6', 'b4b1', 'h4g4')
('a5a4', 'c7c6', 'b4b1', 'h4g5')
('a5a4', 'c7c6', 'b4b1', 'h5b5')
('a5a4', 'c7c6', 'b4b1', 'h5c5')
('a5a4', 'c7c6', 'b4b1', 'h5d5')
('a5a4', 'c7c6', 'b4b1', 'h5e5')
('a5a4', 'c7c6', 'b4b1', 'h5f5')
('a5a4', 'c7c6', 'b4b1', 'h5g5')
('a5a4', 'c7c6', 'b4b1', 'h5h6')
('a5a4', 'c7c6', 'b4b1', 'h5h7')
('a5a4', 'c7c6', 'b4b1', 'h5h8')
('a5a4', 'c7c6', 'b4b2', 'c6b5')
('a5a4', 'c7c6', 'b4b2', 'c6c5')
('a5a4', 'c7c6', 'b4b2', 'd6d5')
('a5a4', 'c7c6', 'b4b2', 'f4f3')
('a5a4', 'c7c6', 'b4b2', 'h4g3')
('a5a4', 'c7c6', 'b4b2', 'h4g4')
('a5a4', 'c7c6', 'b4b2', 'h4g5')
('a5a4', 'c7c6', 'b4b2', 'h5b5')
('a5a4', 'c7c6', 'b4b2', 'h5c5')
('a5a4', 'c7c6', 'b4b2', 'h5d5')
('a5a4', 'c7c6', 'b4b2', 'h5e5')
('a5a4', 'c7c6', 'b4b2', 'h5f5')
('a5a4', 'c7c6', 'b4b2', 'h5g5')
('a5a4', 'c7c6', 'b4b2', 'h5h6')
('a5a4', 'c7c6', 'b4b2', 'h5h7')
('a5a4', 'c7c6', 'b4b2', 'h5h8')
('a5a4', 'c7c6', 'b4b3', 'c6b5')
('a5a4', 'c7c6', 'b4b3', 'c6c5')
('a5a4', 'c7c6', 'b4b3', 'd6d5')
('a5a4', 'c7c6', 'b4b3', 'f4f3')
('a5a4', 'c7c6', 'b4b3', 'h4g4')
('a5a4', 'c7c6', 'b4b3', 'h4g5')
('a5a4', 'c7c6', 'b4b3', 'h5b5')
('a5a4', 'c7c6', 'b4b3', 'h5c5')
('a5a4', 'c7c6', 'b4b3', 'h5d5')
('a5a4', 'c7c6', 'b4b3', 'h5e5')
('a5a4', 'c7c6', 'b4b3', 'h5f5')
('a5a4', 'c7c6', 'b4b3', 'h5g5')
('a5a4', 'c7c6', 'b4b3', 'h5h6')
('a5a4', 'c7c6', 'b4b3', 'h5h7')
('a5a4', 'c7c6', 'b4b3', 'h5h8')
('a5a4', 'c7c6', 'b4c4', 'c6b5')
('a5a4', 'c7c6', 'b4c4', 'c6c5')
('a5a4', 'c7c6', 'b4c4', 'd6d5')
('a5a4', 'c7c6', 'b4c4', 'h4g3')
('a5a4', 'c7c6', 'b4c4', 'h4g4')
('a5a4', 'c7c6', 'b4c4', 'h4g5')
('a5a4', 'c7c6', 'b4c4', 'h5b5')
('a5a4', 'c7c6', 'b4c4', 'h5c5')
('a5a4', 'c7c6', 'b4c4', 'h5d5')
('a5a4', 'c7c6', 'b4c4', 'h5e5')
('a5a4', 'c7c6', 'b4c4', 'h5f5')
('a5a4', 'c7c6', 'b4c4', 'h5g5')
('a5a4', 'c7c6', 'b4c4', 'h5h6')
('a5a4', 'c7c6', 'b4c4', 'h5h7')
('a5a4', 'c7c6', 'b4c4', 'h5h8')
('a5a4', 'c7c6', 'b4d4', 'c6b5')
('a5a4', 'c7c6', 'b4d4', 'c6c5')
('a5a4', 'c7c6', 'b4d4', 'd6d5')
('a5a4', 'c7c6', 'b4d4', 'h4g3')
('a5a4', 'c7c6', 'b4d4', 'h4g4')
('a5a4', 'c7c6', 'b4d4', 'h4g5')
('a5a4', 'c7c6', 'b4d4', 'h5b5')
('a5a4', 'c7c6', 'b4d4', 'h5c5')
('a5a4', 'c7c6', 'b4d4', 'h5d5')
('a5a4', 'c7c6', 'b4d4', 'h5e5')
('a5a4', 'c7c6', 'b4d4', 'h5f5')
('a5a4', 'c7c6', 'b4d4', 'h5g5')
('a5a4', 'c7c6', 'b4d4', 'h5h6')
('a5a4', 'c7c6', 'b4d4', 'h5h7')
('a5a4', 'c7c6', 'b4d4', 'h5h8')
('a5a4', 'c7c6', 'b4e4', 'c6b5')
('a5a4', 'c7c6', 'b4e4', 'c6c5')
('a5a4', 'c7c6', 'b4e4', 'd6d5')
('a5a4', 'c7c6', 'b4e4', 'h4g3')
('a5a4', 'c7c6', 'b4e4', 'h4g4')
('a5a4', 'c7c6', 'b4e4', 'h4g5')
('a5a4', 'c7c6', 'b4e4', 'h5b5')
('a5a4', 'c7c6', 'b4e4', 'h5c5')
('a5a4', 'c7c6', 'b4e4', 'h5d5')
('a5a4', 'c7c6', 'b4e4', 'h5e5')
('a5a4', 'c7c6', 'b4e4', 'h5f5')
('a5a4', 'c7c6', 'b4e4', 'h5g5')
('a5a4', 'c7c6', 'b4e4', 'h5h6')
('a5a4', 'c7c6', 'b4e4', 'h5h7')
('a5a4', 'c7c6', 'b4e4', 'h5h8')
('a5a4', 'c7c6', 'b4f4', 'h4g3')
('a5a4', 'c7c6', 'b4f4', 'h4g5')
('a5a4', 'c7c6', 'b5b6', 'c6c5')
('a5a4', 'c7c6', 'b5b6', 'd6d5')
('a5a4', 'c7c6', 'b5b6', 'h4g3')
('a5a4', 'c7c6', 'b5b6', 'h4g4')
('a5a4', 'c7c6', 'b5b6', 'h4g5')
('a5a4', 'c7c6', 'b5b6', 'h5a5')
('a5a4', 'c7c6', 'b5b6', 'h5b5')
('a5a4', 'c7c6', 'b5b6', 'h5c5')
('a5a4', 'c7c6', 'b5b6', 'h5d5')
('a5a4', 'c7c6', 'b5b6', 'h5e5')
('a5a4', 'c7c6', 'b5b6', 'h5f5')
('a5a4', 'c7c6', 'b5b6', 'h5g5')
('a5a4', 'c7c6', 'b5b6', 'h5h6')
('a5a4', 'c7c6', 'b5b6', 'h5h7')
('a5a4', 'c7c6', 'b5b6', 'h5h8')
('a5a4', 'c7c6', 'b5c6', 'd6d5')
('a5a4', 'c7c6', 'b5c6', 'h4g3')
('a5a4', 'c7c6', 'b5c6', 'h4g4')
('a5a4', 'c7c6', 'b5c6', 'h4g5')
('a5a4', 'c7c6', 'b5c6', 'h5a5')
('a5a4', 'c7c6', 'b5c6', 'h5b5')
('a5a4', 'c7c6', 'b5c6', 'h5c5')
('a5a4', 'c7c6', 'b5c6', 'h5d5')
('a5a4', 'c7c6', 'b5c6', 'h5e5')
('a5a4', 'c7c6', 'b5c6', 'h5f5')
('a5a4', 'c7c6', 'b5c6', 'h5g5')
('a5a4', 'c7c6', 'b5c6', 'h5h6')
('a5a4', 'c7c6', 'b5c6', 'h5h7')
('a5a4', 'c7c6', 'b5c6', 'h5h8')
('a5a4', 'c7c6', 'e2e3', 'c6b5')
('a5a4', 'c7c6', 'e2e3', 'c6c5')
('a5a4', 'c7c6', 'e2e3', 'd6d5')
('a5a4', 'c7c6', 'e2e3', 'h4g3')
('a5a4', 'c7c6', 'e2e3', 'h4g4')
('a5a4', 'c7c6', 'e2e3', 'h4g5')
('a5a4', 'c7c6', 'e2e3', 'h5b5')
('a5a4', 'c7c6', 'e2e3', 'h5c5')
('a5a4', 'c7c6', 'e2e3', 'h5d5')
('a5a4', 'c7c6', 'e2e3', 'h5e5')
('a5a4', 'c7c6', 'e2e3', 'h5f5')
('a5a4', 'c7c6', 'e2e3', 'h5g5')
('a5a4', 'c7c6', 'e2e3', 'h5h6')
('a5a4', 'c7c6', 'e2e3', 'h5h7')
('a5a4', 'c7c6', 'e2e3', 'h5h8')
('a5a4', 'c7c6', 'e2e4', 'c6b5')
('a5a4', 'c7c6', 'e2e4', 'c6c5')
('a5a4', 'c7c6', 'e2e4', 'd6d5')
('a5a4', 'c7c6', 'e2e4', 'f4f3')
('a5a4', 'c7c6', 'e2e4', 'h4g3')
('a5a4', 'c7c6', 'e2e4', 'h4g4')
('a5a4', 'c7c6', 'e2e4', 'h4g5')
('a5a4', 'c7c6', 'e2e4', 'h5b5')
('a5a4', 'c7c6', 'e2e4', 'h5c5')
('a5a4', 'c7c6', 'e2e4', 'h5d5')
('a5a4', 'c7c6', 'e2e4', 'h5e5')
('a5a4', 'c7c6', 'e2e4', 'h5f5')
('a5a4', 'c7c6', 'e2e4', 'h5g5')
('a5a4', 'c7c6', 'e2e4', 'h5h6')
('a5a4', 'c7c6', 'e2e4', 'h5h7')
('a5a4', 'c7c6', 'e2e4', 'h5h8')
('a5a4', 'c7c6', 'g2g3', 'h4g3')
('a5a4', 'c7c6', 'g2g3', 'h4g4')
('a5a4', 'c7c6', 'g2g3', 'h4g5')
('a5a4', 'c7c6', 'g2g3', 'h4h3')
('a5a4', 'c7c6', 'g2g4', 'c6b5')
('a5a4', 'c7c6', 'g2g4', 'c6c5')
('a5a4', 'c7c6', 'g2g4', 'd6d5')
('a5a4', 'c7c6', 'g2g4', 'f4f3')
('a5a4', 'c7c6', 'g2g4', 'h4g3')
('a5a4', 'c7c6', 'g2g4', 'h4g4')
('a5a4', 'c7c6', 'g2g4', 'h4g5')
('a5a4', 'c7c6', 'g2g4', 'h4h3')
('a5a4', 'c7c6', 'g2g4', 'h5b5')
('a5a4', 'c7c6', 'g2g4', 'h5c5')
('a5a4', 'c7c6', 'g2g4', 'h5d5')
('a5a4', 'c7c6', 'g2g4', 'h5e5')
('a5a4', 'c7c6', 'g2g4', 'h5f5')
('a5a4', 'c7c6', 'g2g4', 'h5g5')
('a5a4', 'c7c6', 'g2g4', 'h5h6')
('a5a4', 'c7c6', 'g2g4', 'h5h7')
('a5a4', 'c7c6', 'g2g4', 'h5h8')
('a5a4', 'd6d5', 'a4a3', 'c7c5')
('a5a4', 'd6d5', 'a4a3', 'c7c6')
('a5a4', 'd6d5', 'a4a3', 'd5d4')
('a5a4', 'd6d5', 'a4a3', 'h4g3')
('a5a4', 'd6d5', 'a4a3', 'h4g4')
('a5a4', 'd6d5', 'a4a3', 'h4g5')
('a5a4', 'd6d5', 'a4a3', 'h5e5')
('a5a4', 'd6d5', 'a4a3', 'h5f5')
('a5a4', 'd6d5', 'a4a3', 'h5g5')
('a5a4', 'd6d5', 'a4a3', 'h5h6')
('a5a4', 'd6d5', 'a4a3', 'h5h7')
('a5a4', 'd6d5', 'a4a3', 'h5h8')
('a5a4', 'd6d5', 'a4a5', 'c7c5')
('a5a4', 'd6d5', 'a4a5', 'c7c6')
('a5a4', 'd6d5', 'a4a5', 'd5d4')
('a5a4', 'd6d5', 'a4a5', 'h4g3')
('a5a4', 'd6d5', 'a4a5', 'h4g4')
('a5a4', 'd6d5', 'a4a5', 'h4g5')
('a5a4', 'd6d5', 'a4a5', 'h5e5')
('a5a4', 'd6d5', 'a4a5', 'h5f5')
('a5a4', 'd6d5', 'a4a5', 'h5g5')
('a5a4', 'd6d5', 'a4a5', 'h5h6')
('a5a4', 'd6d5', 'a4a5', 'h5h7')
('a5a4', 'd6d5', 'a4a5', 'h5h8')
('a5a4', 'd6d5', 'a4b3', 'c7c5')
('a5a4', 'd6d5', 'a4b3', 'c7c6')
('a5a4', 'd6d5', 'a4b3', 'd5d4')
('a5a4', 'd6d5', 'a4b3', 'h4g3')
('a5a4', 'd6d5', 'a4b3', 'h4g4')
('a5a4', 'd6d5', 'a4b3', 'h4g5')
('a5a4', 'd6d5', 'a4b3', 'h5e5')
('a5a4', 'd6d5', 'a4b3', 'h5f5')
('a5a4', 'd6d5', 'a4b3', 'h5g5')
('a5a4', 'd6d5', 'a4b3', 'h5h6')
('a5a4', 'd6d5', 'a4b3', 'h5h7')
('a5a4', 'd6d5', 'a4b3', 'h5h8')
('a5a4', 'd6d5', 'b4b1', 'c7c5')
('a5a4', 'd6d5', 'b4b1', 'c7c6')
('a5a4', 'd6d5', 'b4b1', 'd5d4')
('a5a4', 'd6d5', 'b4b1', 'f4f3')
('a5a4', 'd6d5', 'b4b1', 'h4g3')
('a5a4', 'd6d5', 'b4b1', 'h4g4')
('a5a4', 'd6d5', 'b4b1', 'h4g5')
('a5a4', 'd6d5', 'b4b1', 'h5e5')
('a5a4', 'd6d5', 'b4b1', 'h5f5')
('a5a4', 'd6d5', 'b4b1', 'h5g5')
('a5a4', 'd6d5', 'b4b1', 'h5h6')
('a5a4', 'd6d5', 'b4b1', 'h5h7')
('a5a4', 'd6d5', 'b4b1', 'h5h8')
('a5a4', 'd6d5', 'b4b2', 'c7c5')
('a5a4', 'd6d5', 'b4b2', 'c7c6')
('a5a4', 'd6d5', 'b4b2', 'd5d4')
('a5a4', 'd6d5', 'b4b2', 'f4f3')
('a5a4', 'd6d5', 'b4b2', 'h4g3')
('a5a4', 'd6d5', 'b4b2', 'h4g4')
('a5a4', 'd6d5', 'b4b2', 'h4g5')
('a5a4', 'd6d5', 'b4b2', 'h5e5')
('a5a4', 'd6d5', 'b4b2', 'h5f5')
('a5a4', 'd6d5', 'b4b2', 'h5g5')
('a5a4', 'd6d5', 'b4b2', 'h5h6')
('a5a4', 'd6d5', 'b4b2', 'h5h7')
('a5a4', 'd6d5', 'b4b2', 'h5h8')
('a5a4', 'd6d5', 'b4b3', 'c7c5')
('a5a4', 'd6d5', 'b4b3', 'c7c6')
('a5a4', 'd6d5', 'b4b3', 'd5d4')
('a5a4', 'd6d5', 'b4b3', 'f4f3')
('a5a4', 'd6d5', 'b4b3', 'h4g4')
('a5a4', 'd6d5', 'b4b3', 'h4g5')
('a5a4', 'd6d5', 'b4b3', 'h5e5')
('a5a4', 'd6d5', 'b4b3', 'h5f5')
('a5a4', 'd6d5', 'b4b3', 'h5g5')
('a5a4', 'd6d5', 'b4b3', 'h5h6')
('a5a4', 'd6d5', 'b4b3', 'h5h7')
('a5a4', 'd6d5', 'b4b3', 'h5h8')
('a5a4', 'd6d5', 'b4c4', 'c7c5')
('a5a4', 'd6d5', 'b4c4', 'c7c6')
('a5a4', 'd6d5', 'b4c4', 'd5c4')
('a5a4', 'd6d5', 'b4c4', 'd5d4')
('a5a4', 'd6d5', 'b4c4', 'h4g3')
('a5a4', 'd6d5', 'b4c4', 'h4g4')
('a5a4', 'd6d5', 'b4c4', 'h4g5')
('a5a4', 'd6d5', 'b4c4', 'h5e5')
('a5a4', 'd6d5', 'b4c4', 'h5f5')
('a5a4', 'd6d5', 'b4c4', 'h5g5')
('a5a4', 'd6d5', 'b4c4', 'h5h6')
('a5a4', 'd6d5', 'b4c4', 'h5h7')
('a5a4', 'd6d5', 'b4c4', 'h5h8')
('a5a4', 'd6d5', 'b4d4', 'c7c5')
('a5a4', 'd6d5', 'b4d4', 'c7c6')
('a5a4', 'd6d5', 'b4d4', 'h4g3')
('a5a4', 'd6d5', 'b4d4', 'h4g4')
